№ п/п;Реестровый №;Наименование юридического лица, которому имущество области передано в пользование;Почтовый адрес;Балансовая стоимость основных средств, тыс. руб.; Остаточная стоимость основных средств, тыс. руб.;Незавершенное строительство (размер затрат), тыс.руб;Материальные запасы, тыс.руб.;
130;3816;Муниципальное бюджетное учреждение социальной защиты Верховажского муниципального района Вологодской области  "Центр социальной помощи семье и детям";162300 с.Верховажье, ул.Пионерская, 6;952,95822;175,29718;;;
131;3819;Бюджетное учреждение социального обслуживания "Комплексный центр социального обслуживания населения";162390 г.Великий Устюг, ул.Красная, 51;6117,10974;2098,62341;;;
132;3820;Бюджетное учреждение социального обслуживания Кирилловского муниципального района "Талицкий дом-интернат для престарелых и инвалидов";161117 Кирилловский р-н, с.Талицы, ул.Советская, 3;2154,87173;48,33452;;;
133;3821;Бюджетное учреждение социального обслуживания Никольского муниципального района "Комплексный центр социального обслуживания населения";161440 г.Никольск, ул.Советская, 92;1119,47504;335,74194;;;
134;3822;Бюджетное учреждение социальной защиты населения Сокольского муниципального района "Комплексный центр социального обслуживания населения";162139 г.Сокол, ул.Беднякова, 33;5015,4064;3044,85872;;;
135;3823;Автономное учреждение социальной защиты населения Сокольского муниципального района "Сокольский дом-интернат для престарелых и инвалидов";162138 г.Сокол, ул.Калинина, 18;1955,30897;1105,46658;;;
136;3824;Бюджетное учреждение социальной защиты населения Сокольского муниципального района "Центр социальной помощи семье и детям";162134 г.Сокол, ул.Производственная, 16;2023,70956;1312,69497;;;
137;3830;Бюджетное учреждение социального обслуживания "Комплексный центр социального обслуживания населения" Харовского муниципального района;162250 г.Харовск, ул.Архангельская, 5;4397,40676;2267,73608;;;
138;3831;Бюджетное учреждение социального обслуживания  Шекснинского муниципального района "Комплексный центр социального обслуживания населения";162562 п.Шексна, ул.Магистральная, 31;8661,52089;2940,32907;;;
139;3833;Бюджетное учреждение социального обслуживания Кадуйского муниципального района "Социально-реабилитационный центр для несовершеннолетних";162520 Кадуйский р-н, с.Никольское, ул.Садовая, 10;123,96485;0;;;
140;3834;Бюджетное учреждение социального обслуживания Кирилловского муниципального района "Центр социальной помощи семье и детям";161100 г.Кириллов, ул.Преображенского, 22;9822,72119;8731,6168;;;
141;3836;Муниципальное бюджетное учреждение социального обслуживания "Комплексный центр социального обслуживания населения Тотемского муниципального района";161300 г.Тотьма, ул.Садовая, 51;9849,4315;2852,40094;;;
142;3837;Муниципальное бюджетное учреждение социального обслуживания Вологодского муниципального района "Кубенский дом-интернат для престарелых и инвалидов";160533 Вологодский р-н, с.Кубенское, ул.Ленина, 90;1969,47393;50,6787;;;
143;3838;Муниципальное бюджетное учреждение социального обслуживания "Комплексный центр социального обслуживания населения" Бабушкинского муниципального района;161350 с.им.Бабушкина, ул.Строителей, 2-а;5016,51549;490,4564;;;
144;3839;Муниципальное бюджетное учреждение социального обслуживания Вологодского муниципального района "Комплексный центр социального обслуживания населения";160011 г.Вологда, ул.Герцена, 63, кор.А;673,15234;62,88233;;;
145;3840;Бюджетное учреждение социального обслуживания Чагодощенского муниципального района "Комплексный центр социального обслуживания населения";162400 п.Чагода, ул.Школьная, 23;8612,20507;589,46142;;;
146;3841;Муниципальное бюджетное учреждение социального обслуживания Бабаевского муниципального района "Комплексный центр социального обслуживания" Бабаевского муниципального района;162480 г.Бабаево, ул.Интернациональная, 42;5395,80282;1321,03543;;;
147;3842;Муниципальное бюджетное учреждение социального обслуживания Вологодского муниципального района "Социально-реабилитационный центр для несовершеннолетних";160511 Вологодский р-н, п.Перьево, ул.Лесная, 3;1359,84;243,9842;;;
148;3844;Бюджетное учреждение социального обслуживания Кадуйиского муниципального района "Комплексный центр социального обслуживания населения";162511 п.Кадуй, ул.Октябрьская, 23-а;1603,88873;729,09428;;;
149;3846;Бюджетное учреждение социального обслуживания "Дом-интернат для престарелых граждан и инвалидов" Тарногского муниципального района Вологодской области;161566 Тарногский р-н, п.Айга, ул.Вахнева, 2;3082,27195;1870,85011;;;
150;3847;Муниципальное бюджетное учреждение "Социально-реабилитационный центр для несовершеннолетних "Росток";162603 г.Череповец, ул.Краснодонцев, 21;16732,0832;7611,31498;;;
151;3848;Бюджетное учреждение "Комплексный центр социального обслуживания населения" Тарногского муниципального района Вологодской области;161560 с.Тарногский Городок, ул.Советская, 39;5510,83939;2570,31834;;;
152;3849;Муниципальное бюджетное учреждение "Усть-Кубинский комплексный центр социального обслуживания населения";161140 Усть-Кубинский р-н, с.Устье, ул.Октябрьская, 11;3741,62165;372,38602;;;
153;3850;Муниципальное бюджетное учреждение "Центр социальной помощи семье и детям " Радуга";161140 Усть-Кубинский р-н, с.Устье, ул.Пролетарская, 13-а;1963,74802;633,0333;;;
154;3852;Бюджетное  учреждение социального обслуживания Междуреченского муниципального района "Комплексный центр социального обслуживания населения";161050 Междуреченский р-н, с.Шуйское, ул.Малая Садовая, 1;1377,00621;400,26227;;;
