№ п/п;Реестровый №;Наименование юридического лица, которому имущество области передано в пользование;Почтовый адрес;Балансовая стоимость основных средств, тыс. руб.; Остаточная стоимость основных средств, тыс. руб.;Незавершенное строительство (размер затрат), тыс.руб;Материальные запасы, тыс.руб.;
247;6028;Бюджетное учреждение здравоохранения Вологодской области "Усть-Кубинская центральная районная больница";161140 п.Устье, ул.Колхозная, 9;4542;4542;;;
248;6029;Бюджетное учреждение здравоохранения Вологодской области "Медико-санитарная часть "Северсталь";162600 г.Череповец, ул.Металлургов, 18;5341,333;5341,333;;;
249;6030;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая городская больница №2";162611 г.Череповец, ул.Ломоносова, 15;4431;4431;;;
250;6031;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая детская городская больница";162624 г.Череповец, ул.Командарма Белова, 40;2440,03333;2440,03333;;;
251;6032;Бюджетное учреждение здравоохранения Вологодской области "Вашкинская центральная районная больница";161250 Вашкинский р-н, с.Липин Бор, ул.Первомайская, 23;2086,3;2077,3;;;
252;6033;Бюджетное учреждение здравоохранения Вологодской области "Вологодская городская поликлиника №3";160025 г.Вологда, ул.Московская, 2-а;11380;11380;;;
253;6034;Бюджетное учреждение здравоохранения Вологодской области "Вологодская детская городская поликлиника №5";160022 г.Вологда, ул.Казакова, 2;248;248;;;
254;6035;Бюджетное учреждение здравоохранения Вологодской области "Вологодский родильный дом №1";160011 г. Вологда, ул.Пирогова, 24;7797;7797;;;
255;6036;Бюджетное учреждение здравоохранения "Череповецкая городская больница №1";162602 г.Череповец, ул.Данилова, 15;20015,75;20015,75;;;
256;6037;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая городская поликлиника №2";162600 г.Череповец, ул.Беляева, 24;2586,826;2586,826;;;
257;6038;Бюджетное учреждение здравоохранения "Великоустюгская центральная районная больница";162390 г.В.Устюг, Советский пр-кт, 30;13437,96434;13415,46434;;;
258;6039;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая центральная районная поликлиника";162600 г.Череповец;4575,8;4566,8;;;
259;3715;ГУ "Управление судебного департамента в Вологодской области";160001 г. Вологда, ул.Мира, 36;21756;18798,03929;;;
