№ п/п;Состав областного имущества;Стоимость имущества государственных предприятий, тыс.руб.;Стоимость имущества государственных учреждений, тыс.руб.;Стоимость имущества казны, тыс. руб.;Стоимость имущества всего, тыс. руб.;
1;Нематериальные активы;0;5168.2258000000002;0;5168.2258000000002;
2;Балансовая стоимость основных средств, тыс. руб.;8284061.8055999987;118474402.34339993;2514853.0521200011;129273317.20111994;
3;Остаточная стоимость основных средств, тыс. руб.;5107132.0877999989;58133063.615090035;1747648.8800699997;64987844.582960032;
4;Незавершенное строительство;174115.91875999997;3549443.0513600009;70155.907000000007;3793714.8771200008;
5;Материальные запасы;383793.55474000005;2066492.8;37669.300000000003;2487955.6547400001;
6;Долгосрочные финансовые вложения;81164.808170000004;1296.9000000000001;2684133.875;2646996.2434100001;
7;Иные активы;2629390.3361499994;3228223.6808900009;0;5857614.0170400003;
