№ п/п;Реестровый №;Наименование юридического лица, за которым закреплено имущество области ;Балансовая стоимость основных средств, тыс. руб.;Остаточная стоимость основных средств, тыс. руб;Незавершенное строительство (размер затрат), тыс.руб.;Материальные запасы, тыс.руб.;Долгосрочные финансовые вложения, тыс.руб.;Нематериальные активы, тыс.руб.;Иные активы, тыс.руб.;
61;3686;Представительство Вологодской области при Президенте Российской Федерации и Правительстве Российской Федерации;56935,56209;34046,78622;;1288,72473;;;435,93257;
62;3797;Представительство Вологодской области в Северо-Западном Федеральном округе;8842,60885;157,99127;;138,12348;;;325,49083;
63;3897;Бюджетное автотранспортное учреждение Вологодской области "Автотранспортное хозяйство";264954,52501;145881,80563;;11880,95889;;;-10815,32717;
64;3926;Инспекция государственного строительного надзора Вологодской области;1733,50611;16,1554;;48,50172;;;53,04361;
65;3978;Комитет государственного заказа Вологодской области;4427,06923;438,94813;;;;;1861,74069;
66;3993;Департамент труда и занятости населения Вологодской области;992,61381;538,01;;116,62262;;129;-67564,41272;
67;4001;Бюджетное учреждение по обеспечению содержания  и эксплуатации недвижимого имущества Вологодской области "Управление по эксплуатации зданий";1239335,35227;973532,57997;;6474,8139;;;18957,72757;
68;4086;Департамент финансов Вологодской области;174352,6213;26815,24572;;25690,07651;;;94806,60236;
69;4332;Департамент здравоохранения Вологодской области;13113,51609;4347,48358;;121351,62529;;;983256,2184;
70;53;Государственное казенное учреждение Вологодской области "Областное казначейство";24959,16529;3734,05787;;529,76931;;;10,49377;
71;115;Бюджетное учреждение Вологодской области в сфере регулирования и содействия экономической деятельности и инвестиционной политики "Дирекция индустриального парка";1307,16814;445,20508;;27,58422;;;160,25057;
72;3979;Бюджетное учреждение Вологодской области в сфере поддержки субъектов малого и среднего предпринимательства "Бизнес-инкубатор";131624,07265;107008,64721;;66,56902;;;-130040,80138;
73;1152;бюджетное учреждение жилищно-коммунального хозяйства Вологодской области "Вологдаоблжилкомхоз";1254542,79777;1090078,84326;;5435,37195;;;-1114935,71695;
74;3741;Специализированное автономное учреждение лесного хозяйства Вологодской области "Грязовецкий лесхоз";19782,78463;4262,91423;;1543,64048;;;7588,48546;
75;3743;Специализированное автономное учреждение Вологодской области "Сямженский лесхоз";17972,5246;5480,97044;;1593,95192;;;-4098,34823;
76;3748;Специализированное автономное учреждение лесного хозяйства Вологодской области "Бабаевский лесхоз";56841,72505;39056,06587;;3196,28445;;;-902,08561;
77;3755;Специализированное автономное учреждение лесного хозяйства Вологодской области "Кадниковский лесхоз";32655,4503;12632,92437;595,766;661,76752;;;-10779,01851;
78;3757;Специализированное автономное учреждение лесного хозяйства Вологодской области "Никольский лесхоз";24437,81161;5809,49269;215,44861;4284,38416;;;2186,45152;
79;3758;Специализированное автономное учреждение Вологодской области "Череповецкий лесхоз";82854,60014;49866,77511;169,3;1992,2749;;;-46384,85662;
80;3762;Специализированное автономное учреждение лесного хозяйства Вологодской области "Кадуйский лесхоз";15458,68139;1714,29939;10,271;1700,02331;;;-1038,42563;
81;3764;Автономное учреждение Вологодской области "Борисово-Судский лесхоз";39547,23062;9409,57024;;5567,7285;;;65,32724;
82;3773;Специализированное автономное учреждение лесного хозяйства Вологодской области "Вологодское лесохозяйственное объединение";1025148,86759;419812,55489;90529,22994;;;;109409,05829;
83;3992;Специализированное автономное учреждение лесного хозяйства Вологодской области "Вологодская база авиационной охраны лесов";14448,70082;5913,21795;;1042,64302;;;-771,69841;
84;3997;Бюджетное учреждение лесного хозяйства Вологодской области "Вологодский селекционный лесохозяйственный центр";7684,41203;1541,10967;;549,64348;;;-752,34244;
85;915;Казенное учреждение Вологодской области "Управление автомобильных дорог Вологодской области";79264263,65317;41425502,91686;724504,76227;724504,76227;;;460,75057;
86;3482;Бюджетное образовательное учреждение в сфере охраны окружающей среды и природопользования Вологодской области "Институт развития экологии "ЭЛПРОС";2132,88724;299,19019;;16,59469;;;;
87;3523;Бюджетное учреждение контроля качества продукции агропромышленного комплекса Вологодской области "Вологодский областной центр контроля качества";1445838,46308;582521,05432;2423,025;;;178,5;1332,3;
88;2;Бюджетное учреждение здравоохранения Вологодской области "Медицинский информационно-аналитический центр";12681,14575;4312,56193;;2,75703;;;-2819,11292;
89;3;Бюджетное учреждение здравоохранения Вологодской области "Областной медицинский центр мобилизационных резервов "Резерв";78177,93971;3755,77751;;1393,98308;;;276,88618;
90;5;Бюджетное учреждение здравоохранения Вологодской области "Великоустюгский детский противотуберкулезный санаторий "Гледенский";3065,27425;15,32368;;555,43485;;;10,32091;
91;132;Бюджетное учреждение здравоохранения Вологодской области "Вологодский областной противотуберкулёзный диспансер №3";16407,90666;5400,34342;;2850,11929;;;-5301,16095;
92;508;Бюджетное учреждение здравоохранения Вологодской области "Станция переливания крови №2";159236,68679;145111,81122;;44196,9337;;;-9201,47486;
93;553;Бюджетное учреждение здравоохранения Вологодской области "Вологодский областной центр медицинской профилактики";4558,96401;497,6449;;347,74002;;;-469,12119;
94;922;Бюджетное учреждение здравоохранения Вологодской области "Сокольская центральная районная больница";362103,43388;132076,14349;;10215,70802;;;-92925,74057;
95;923;Бюджетное учреждение здравоохранения Вологодской области "Сямженская центральная районная больница";1750,706;1750,706;;313,81728;;;;
96;924;Бюджетное учреждение здравоохранения Вологодской области "Никольская центральная районная больница";184017,05606;35855,41812;;8797,19987;;;-22333,33083;
97;925;Бюджетное учреждение здравоохранения Вологодской области "Междуреченская центральная районная больница";95115,47615;22112,54242;;318,25281;;;;
98;926;Бюджетное учреждение здравоохранения Вологодской области "Нюксенская центральная районная больница";125892,89759;31411,64235;;8264,52508;;;-18652,56279;
99;927;Бюджетное учреждение здравоохранения "Кирилловская центральная районная больница";53355,35109;29158,66492;;1410,22099;;;;
100;928;Бюджетное учреждение здравоохранения Вологодской области "Устюженская центральная районная больница";177859,31;117338,55247;;1132,9495;;;-112533,07285;
101;929;Бюджетное учреждение здравоохранения Вологодской области "Харовская центральная районная больница";142149,1706;68169,09093;;2627,343;;;-48204,65848;
102;930;Бюджетное учреждение здравоохранения Вологодской области "Бабаевская центральная районная больница";168410,6425;62619,7929;;6176,27231;;;-31223,67113;
103;931;Бюджетное учреждение здравоохранения Вологодской области "Бабушкинская центральная районная больница";74475,83605;26640,25217;;6607,39293;;;-14211,11543;
104;932;Бюджетное учреждение здравоохранения Вологодской области "Белозерская центральная районная больница";204109,44552;84052,17206;;6934,91581;;;-56590,63446;
105;934;Бюджетное учреждение здравоохранения Вологодской области "Верховажская центральная районная больница";115521,8326;72022,54886;;785,79959;;;;
106;935;Бюджетное учреждение здравоохранения Вологодской области "Вожегодская центральная районная больница";88911,56266;27947,65025;84,49;2325,83169;;;-16084,64849;
107;936;Бюджетное учреждение здравоохранения "Вологодская центральная районная больница";127034,70381;46492,80439;;1161,38623;;;;
108;937;Бюджетное учреждение здравоохранения Вологодской области "Грязовецкая центральная районная больница";247694,3426;143709,77701;;6748,13148;;;-91903,80487;
109;938;Бюджетное учреждение здравоохранения Вологодской области "Кичменгско-Городецкая центральная районная больница" имени В.И. Коржавина;185059,42245;125438,86645;;6262,96883;;;;
110;939;Бюджетное учреждение здравоохранения Вологодской области "Тарногская центральная районная больница";100225,05828;52779,28391;;764,99395;;;;
111;940;Бюджетное учреждение здравоохранения Вологодской области "Тотемская центральная районная больница";283204,30262;115645,27596;;11713,7485;;;-81447,81121;
112;941;Бюджетное учреждение здравоохранения Вологодской области"Чагодощенская центральная районная больница";74721,93211;23362,01426;;2854,44834;;;-12870,6054;
113;942;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая центральная районная поликлиника";1168,516;1168,516;;1209,58013;;;;
114;943;Бюджетное учреждение здравоохранения Вологодской области "Шекснинская центральная районная больница";200313,30951;83894,63659;;7954,3133;;;60021,91115;
115;944;Бюджетное учреждение здравоохранения Вологодской области "Кадуйская центральная районная больница";106246,50446;22953,38713;;5591,336;;;;
116;945;Бюджетное учреждение здравоохранения Вологодской области "Вологодская городская больница №2";85375,54966;34308,56914;8000;5603,86779;;;;
117;946;Бюджетное учреждение здравоохранения Вологодской области "Вологодская городская поликлиника №4";55293,45678;20512,09603;;7568,22985;;;;
118;947;Бюджетное учреждение здравоохранения Вологодской области "Вытегорская центральная районная больница";114389,19755;36978,93986;;3850,16499;;;;
119;948;Бюджетное учреждение здравоохранения Вологодской области "Вологодская городская больница №1";496441,94056;215356,04008;;48786,58222;;;;
120;949;Бюджетное учреждение здравоохранения Вологодской области "Усть-Кубинская центральная районная больница";68656,84355;11461,90985;;300,41235;;;;
121;953;Бюджетное учреждение здравоохранения Вологодской области "Медико-санитарная часть "Северсталь";361127,90273;61085,52999;;55493,07713;;;178403,90732;
122;954;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая городская больница №2";249784,67261;57826,51229;;16109,19732;;;-20740,5117;
123;955;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая детская городская больница";276206,01265;118832,44149;;7349,59276;;;;
124;984;Бюджетное учреждение здравоохранения Вологодской области "Детский специализированный психоневрологический санаторий";81340,42833;59501,35237;;898,69937;;;28,95774;
125;986;Бюджетное учреждение здравоохранения Вологодской области "Дом ребенка специализированный №2";19964,4619;7779,49368;;1507,31637;;;121,85116;
126;988;Бюджетное учреждение здравоохранения Вологодской области "Дом ребенка специализированный №1";30291,38342;14174,26963;;5405,07251;0,195;;86,43652;
127;1003;Бюджетное учреждение здравоохранения Вологодской области "Детский противотуберкулезный санаторий "Серебряный Бор";13070,4787;6123,56602;;1061,65371;;;-5867,63777;
128;2088;Бюджетное учреждение здравоохранения Вологодской области  "Вологодский областной центр планирования семьи и репродукции";10313,89825;5296,44882;;222,81197;;;-5204,57298;
129;3175;Бюджетное учреждение здравоохранения Вологодской области "Вологодский областной Центр контроля качества и сертификации лекарственных средств";3760,03117;216,41647;;145,42199;;;-28,88942;
130;3601;Бюджетное учреждение здравоохранения Вологодской области "Вашкинская центральная районная больница";112851,7753;74417,72653;;823,11613;;;;
131;3602;Бюджетное учреждение здравоохранения Вологодской области "Вологодская городская поликлиника №2";39480,59577;20145,30688;;1998,68728;;;;
132;3603;Бюджетное учреждение здравоохранения Вологодской области "Вологодская городская поликлиника №1";501221,65501;408326,59042;;3444,07375;;;;
133;3604;бюджетное учреждение здравоохранения Вологодской области "Вологодская городская поликлиника № 5";19878,52664;6409,9968;;1624,71025;;;-5734,1752;
134;3605;Бюджетное учреждение здравоохранения Вологодской области "Вологодская детская стоматологическая поликлиника №2";11078,40434;5123,85852;;1161,90946;;;-1845,35626;
135;3606;Бюджетное учреждение здравоохранения Вологодской области "Вологодский родильный дом №2";47358,88382;17203,10402;;1967,0694;;;;
136;3607;Бюджетное учреждение здравоохранения Вологодской области "Вологодская городская поликлиника №3";73753,31503;26700,76901;;6661,62996;;;-15586,23355;
137;3608;Бюджетное учреждение здравоохранения Вологодской области "Вологодская стоматологическая поликлиника №2";6686,67882;1847,94092;;477,28403;;;-1048,55224;
138;3609;Бюджетное учреждение здравоохранения Вологодской области "Вологодская детская городская поликлиника №5";13001,67768;3937,44967;;1205,96664;;;-2814,41967;
139;3610;Бюджетное учреждение здравоохранения Вологодской области "Вологодская детская городская поликлиника №1";45859,74349;19926,16941;;6795,27428;;;;
140;3611;Бюджетное учреждение здравоохранения Вологодской области "Вологодский родильный дом №1";112133,02468;36056,06187;;10635,77641;;;-7082,03703;
141;3612;Бюджетное учреждение здравоохранения Вологодской области "Вологодская детская стоматологическая поликлиника №1";10101,96078;4640,26411;;648,97886;;;-1407,64578;
142;3613;Бюджетное учреждение здравоохранения "Череповецкая городская больница №1";603373,12921;129219,40648;;41110,06774;;;-50695,81219;
143;3614;Бюджетное учреждение здравоохранения Вологодской области "Череповецкий городской центр медицинской профилактики";700,88782;143,23733;;68,12615;;;-81,31427;
