№ п/п;Реестровый №;Наименование юридического лица, за которым закреплено имущество области ;Балансовая стоимость основных средств, тыс. руб.;Остаточная стоимость основных средств, тыс. руб;Незавершенное строительство (размер затрат), тыс.руб.;Материальные запасы, тыс.руб.;Долгосрочные финансовые вложения, тыс.руб.;Нематериальные активы, тыс.руб.;Иные активы, тыс.руб.;
201;104;Бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, Вологодской области "Великоустюгский детский дом №1";37330,94195;11256,99898;;3741,09318;;;-10119,58714;
202;105;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Вытегорский политехнический техникум";29663,90856;5049,43737;;863,34266;;;-1404,10156;
203;107;Казенное образовательное учреждение Вологодской области "Вечерняя (сменная) общеобразовательная школа №1";1451,20219;0;;113,46689;;;7,94693;
204;108;Бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, Вологодской области  "Никольский детский дом им. А.Я.Яшина";48229,1373;23059,46874;;1685,07857;;;1821,19462;
205;118;Бюджетное образовательное учреждение начального профессионального образования Вологодской области "Профессиональное училище №27";66430,06409;1625,6288;;3910,52278;;;1210,80991;
206;190;Бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей Вологодской области "Вологодский детский дом №2";28179,23571;17011,22758;;2654,25756;;;-15508,41019;
207;502;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Вологодский строительный колледж";71518,51166;40548,04669;;2460,88178;;;2746,77145;
208;527;Бюджетное общеобразовательное учреждение Вологодской области "Основная общеобразовательная школа "Созвучие";18893,66615;5850,11183;;855,61994;;;-2881,94331;
209;529;Бюджетное образовательное учреждение дополнительного образования детей Вологодской области "Вологодский областной детско-юношеский центр традиционной народной культуры";4737,3448;350,14571;;464,45339;;;-135,62907;
210;803;Государственное образовательное учреждение "Вологодский "Учпрофстрой";335,5;1,1;;;;;1770;
211;804;Государственное образовательное учреждение "Тотемский "Учпрофстрой";0;0;;;;;328;
212;805;Государственное образовательное учреждение "Великоустюгский "Учпрофстрой";764,3;369;654;;;;4252;
213;852;Бюджетное образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи, Вологодской области "Великоустюгский центр психолого-медико-социального сопровождения";2530,76055;230,02337;;54,76459;;;-19,58996;
214;972;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Кадниковский сельскохозяйственный техникум";71532,79856;31565,36236;;922,06758;;;1588,62444;
215;974;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Вологодский аграрно-экономический колледж";128677,35066;101523,27221;;1876,31253;;;-98402,42586;
216;976;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Череповецкий индустриальный колледж имени академика Ивана Павловича Бардина";81050,17741;40418,87248;;2619,7739;;;-17063,61667;
217;977;Бюджетное образовательное  учреждение среднего профессионального образования Вологодской области "Грязовецкий политехнический техникум";129098,6939;40334,78081;;1046,53667;;;-37946,66398;
218;1258;Бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, Вологодской области "Усть-Кубинский детский дом";13951,36929;7490,5245;;893,04729;;;107,53762;
219;1635;Бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, Вологодской области "Тарногский детский дом";52022,55733;40189,06862;;2411,69743;;;66,80621;
220;2014;Бюджетное образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи, Вологодской области  "Областной центр психолого-медико-социального сопровождения";13387,86071;2672,30455;;626,02548;;;;
221;2720;Автономное образовательное учреждение Вологодской области среднего профессионального образования "Устюженский политехнический техникум";96751,46173;57927,98969;136,39268;1090,01199;;;1674,78344;
222;2800;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Вологодский колледж коммерции, технологии и сервиса";71345,1256;40032,13111;;1306,78605;;;-53491,12349;
223;2801;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Череповецкий техникум сферы обслуживания";107734,09373;36473,3525;;1246,11976;;;-33858,34285;
224;2802;Бюджетное образовательное учреждение начального профессионального образования Вологодской области "Профессиональное училище №54";5656,86554;1224,22156;;215,20689;;;-1019,69529;
225;2803;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Великоустюгский гуманитарно-педагогический колледж";112971,73182;7787,20627;;1044,96256;;;-5932,8078;
226;2804;Бюджетное образовательное учреждение начального профессионального образования Вологодской области "Профессиональное училище №55";25148,92784;16963,39345;;748,99831;;;-16807,57229;
227;2808;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Вологодский педагогический колледж";36510,16711;3174,02423;;954,87354;;;-1239,26534;
228;2810;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Белозерский индустриально-педагогический колледж";43114,73521;1293,70506;;1423,30694;;;-34,06384;
229;2811;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Сокольский педагогический колледж";30538,72238;10255,5301;;220,26824;;;183,21338;
230;2812;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Череповецкий лесомеханический техникум им. В.П. Чкалова";108520,63987;6385,35438;;921,06389;;;556,37177;
231;2813;Бюджетное образовательное учреждение среднего профессионального образования  Вологодской области "Сокольский лесопромышленный политехнический техникум";95918,66015;25136,97699;;1757,44496;;;-18235,40045;
232;2814;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Череповецкий металлургический колледж";101068,46403;35991,33642;;2033,08616;;;-29314,67379;
233;2815;Бюджетное образовательное учреждение среднего профессионального образования "Великоустюгский автотранспортный техникум";17992,10427;43498,91182;;17,02854;;;;
234;2816;Бюджетное образовательное учреждение дополнительного образования детей Вологодской области "Региональный центр дополнительного образования детей";41672,26141;16039,81115;;1,0915;;;;
235;2984;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Вологодский политехнический техникум";79378,28538;48737,17994;897,3;539,83316;;;2343,2709;
236;2986;Бюджетное образовательное учреждение начального профессионального образования Вологодскуой области "Профессиональное училище №49";81960,90508;53248,41162;;1327,96377;;;2780,06167;
237;2987;Бюджетное образовательное учреждение начального профессионального образования Вологодской области "Профессиональное училище №57";31768,59267;15690,77874;;1099,87713;;;1340,27531;
238;2989;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Череповецкий химико-технологический колледж";53769,40449;22024,69678;;1074,2712;;;-21474,0751;
239;2990;Бюджетное образовательное учреждение начального профессионального образования Вологодской области "Профессиональное училище №9";43295,30809;12385,16321;;495,67817;;;973,21532;
240;2991;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Череповецкий технологический техникум";73447,5722;37389,11875;;1325,48543;;;-31621,04752;
241;3000;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Вологодский индустриально-транспортный техникум";52502,46102;23188,39651;;2147,30901;;;-20326,01456;
242;3002;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Череповецкий строительный техникум имени А.А.Лепехина";84857,98819;48536,41781;;961,53069;;;;
243;3009;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Вологодский промышленно-технологический техникум";82649,06839;44622,20573;;1749,70252;;;-39258,99144;
244;3011;Автономное образовательное учреждение Вологодской области среднего профессионального образования "Вологодский колледж связи и информационных технологий";69167,41736;35272,3519;;1447,23102;;;-32974,84558;
245;3014;Бюджетное образовательное учреждение начального профессионального образования Вологодской области "Профессиональное училище №42";84946,91762;24431,0367;;884,93006;;;-23849,90836;
246;3016;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Кадуйский политехнический техникум";36048,08081;14451,45891;;3061,71603;;;-9996,5356;
247;3018;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Тотемский политехнический колледж";79587,69806;21882,12589;;1222,66823;;;1359,07942;
248;3021;Бюджетное образовательное учреждение начального профессионального образования Вологодской области "Профессиональное училище №50";34901,17087;9028,72564;;809,45698;;;-7069,87106;
249;3030;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Губернаторский колледж народных промыслов";16246,28701;7822,21786;;690,15329;;;-7027,02612;
250;3204;Автономное образовательное учреждение дополнительного образования детей Вологодской области "Детский оздоровительно-образовательный центр "Лесная сказка";58092,92608;35615,05943;;6067,65363;;;-28066,33329;
251;3205;Бюджетное образовательное учреждение дополнительного образования детей Вологодской области "Областной центр внешкольной (экскурсионной) работы с детьми и подростками";34814,86725;8607,78628;;3042,78503;;;4038,90047;
252;3214;Государственное образовательное учреждение Учебно-производственный центр "Учпрофстрой";1203,5;453,5;10,3;;;;1332;
253;3219;Автономное образовательное учреждение Вологодской области дополнительного профессионального образования (повышения квалификации) специалистов "Вологодский институт развития образования";59738,84472;23367,54229;;4074,17759;;;-8800,24955;
254;3336;Бюджетное образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи, Вологодской области "Тотемский центр психолого-медико-социального сопровождения";1357,49609;80,23846;;1,24167;;;-2,77013;
255;3552;Бюджетное общеобразовательное учреждение Вологодской области "Вологодский многопрофильный лицей";41575,19723;6811,9054;;1324,75141;;;-23369,88399;
256;3553;Бюджетное образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи, Вологодской области "Череповецкий центр психолого-медико-социального сопровождения";11102,74755;3067,96794;;142,01932;;;5,35126;
257;3710;Бюджетное образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей, Вологодской области "Кадниковский детский дом № 2";21171,90511;6169,0706;;1663,1861;;;4949,23595;
258;3720;Бюджетное образовательное учреждение  дополнительного образования детей Вологодской области "Областной центр детского (юношеского) научно-технического творчества";5187,43931;1758,95965;;144,67171;;;-1338,95314;
259;3791;Бюджетное образовательное учреждение дополнительного образования детей Вологодской области "Духовно-просветительский центр "Северная Фиваида";2915,67931;664,94612;;57,07527;;;-429,93838;
260;3879;Бюджетное общеобразовательное учреждение Вологодской области "Вологодская кадетская школа-интернат";90220,29876;33756,64017;;5897,41009;;;-32661,42578;
261;3932;Бюджетное учреждение системы образования Вологодской области "Управление материально-технического обеспечения учреждений образования";12463,25178;2009,14162;;676,60506;;;-846,27852;
262;3973;Бюджетное учреждение системы образования  Вологодской области "Центр информатизации и оценки качества образования";108258,36265;70152,67909;;1440,58741;;;2068,23727;
263;3975;Бюджетное учреждение системы образования Вологодской области "Централизованная бухгалтерия";2919,65808;78,09221;;533,79854;;;77,17651;
264;4005;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Вологодский колледж технологии и дизайна";147953,67109;80695,00703;;2088,70375;;;-77964,91292;
265;555;Бюджетное учреждение социального обслуживания Вологодской области "Кадниковский социальный приют для детей";7397,5557;1939,63158;;2646,54279;;;2781,81132;
266;581;Бюджетное учреждение социального обслуживания Вологодской области "Социально-реабилитационный центр для несовершеннолетних "Феникс";14334,86092;6879,2605;144,5;;;;80,12981;
267;2389;Бюджетное учреждение социального обслуживания Вологодской области "Сокольский детский дом-интернат для умственно отсталых детей";133576,69366;7047,98168;15600,4273;16459,99887;;;-5015,9501;
268;2392;Автономное учреждение социального обслуживания Вологодской области "Красавинский дом-интернат для престарелых и инвалидов";64844,72514;34493,50145;;4987,10826;;;-32101,94434;
269;2531;Автономное учреждение социального обслуживания Вологодской области "Вологодский психоневрологический интернат №2";7786,12531;2106,86597;;3898,60558;;;-988,7325;
270;2534;Бюджетное учреждение социального обслуживания Вологодской области "Прилукский специальный дом-интернат для престарелых и инвалидов";19267,9849;11419,5164;;1628,13871;;;3140,71937;
271;2535;Бюджетное учреждение социального обслуживания Вологодской области "Вогнемский психоневрологический интернат";38989,96157;20795,03477;21740,43794;9014,42482;;;-19672,79677;
272;2536;Бюджетное учреждение социального обслуживания Вологодской области "Пустынский психоневрологический интернат";11839,433;3538,83983;;5605,54393;;;8718,55887;
273;2537;Бюджетное учреждение социального обслуживания Вологодской области "Никольский психоневрологический интернат";21302,3918;8569,48155;;313,08106;;;3456,92531;
274;2538;Автономное учреждение социального обслуживания Вологодской области "Устюженский психоневрологический интернат";80074,19161;47830,47964;;8868,18082;;;-47069,23977;
275;2539;Автономное учреждение социального обслуживания Вологодской области "Вологодский психоневрологический интернат №1";66898,53004;35170,42721;;11755,69454;;;-32987,53194;
276;2540;Автономное учреждение социального обслуживания Вологодской области "Октябрьский дом-интернат для престарелых и инвалидов";24514,28379;4871,95919;;9099,34164;;;1816,34335;
277;2541;Автономное учреждение социального обслуживания Вологодской области "Череповецкий психоневрологический интернат";94736,54714;38531,47214;;9712,30848;;;-35096,49964;
278;2542;Автономное учреждение социального обслуживания Вологодской области "Череповецкий дом-интернат для престарелых и инвалидов №1";87846,52877;46068,29739;;7589,84388;;;-43875,52417;
279;2543;Бюджетное учреждение социального обслуживания Вологодской области "Кадниковский детский дом-интернат для умственно отсталых детей";70546,99036;41330,50107;765,36224;7227,05682;;;-40061,18127;
280;2544;Автономное учреждение социального обслуживания Вологодской области "Мосейковский психоневрологический интернат";226858,90478;156523,66805;;7259,49897;;;-155470,06413;
281;2545;Бюджетное учреждение социального обслуживания Вологодской области "Первомайский психоневрологический интернат";40262,45591;4993,533;;7434,24968;2,799;;-1850,96379;
282;2546;Бюджетное учреждение социального обслуживания Вологодской области "Ивановский детский дом-интернат для  умственно отсталых детей";20289,89062;11639,56678;;2572,23492;;;-11388,80598;
283;2549;Бюджетное учреждение социального обслуживания Вологодской области "Областной специальный дом для одиноких престарелых (Дом ветеранов)";2833,4036;404,31047;;239,3324;;;21,25361;
284;119;Бюджетное учреждение культуры Вологодской области "Белозерский областной краеведческий музей";11086,51099;908,09236;;606,89679;;;;
285;666;Бюджетное учреждение культуры Вологодской области "Вологодский областной информационно-аналитический центр культуры";4268,98693;657,59262;;91,73632;;;-475,80925;
286;1824;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Вологодский областной техникум культуры";6227,32509;1365,10706;;201,43295;;;-952,80583;
287;1825;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Вологодский областной музыкальный колледж";122534,88378;87426,11925;;466,8456;;;-84788,86036;
288;1826;Бюджетное образовательное учреждение среднего профессионального образования Вологодской области "Череповецкое областное училище искусств и художественных ремесел им.В.В.Верещагина";23734,81208;6528,42977;;4,71462;;;-5152,93072;
289;1860;Бюджетное учреждение культуры и дополнительного профессионального образования Вологодской области "Областной научно-методический центр культуры и повышения квалификации";102424,55883;33873,2024;;2387,1648;;;-1817,94287;
290;1864;Бюджетное учреждение культуры Вологодской области "Вологодская областная детская библиотека";15184,88609;795,01229;;116,10255;;;59,63289;
291;1865;Бюджетное учреждение культуры Вологодской области "Вологодская областная специальная библиотека для слепых";10736,75207;2128,87052;;25,39859;;;40,89492;
292;1866;Бюджетное учреждение культуры Вологодской области "Вологодская областная универсальная научная библиотека им.И.В.Бабушкина";121632,39553;18832,78984;;5322,25496;;;2038,58498;
293;1875;Бюджетное учреждение культуры Вологодской области "Вологодский государственный историко-архитектурный и художественный музей-заповедник";439713,39533;95259,17846;;6917,89466;;;-91735,08109;
294;1876;Бюджетное учреждение культуры Вологодской области "Вологодская областная картинная галерея";36201,74284;3033,51566;;2513,18161;;;-1326,94475;
295;1878;Бюджетное учреждение культуры Вологодской области "Вологодский областной театр кукол "Теремок";15746,26473;2630,77341;;1381,70782;;;-1377,82044;
296;1880;Автономное учреждение культуры Вологодской области "Вологодский ордена "Знак Почета" государственный драматический театр";211446,25207;122738,16394;;7503,27761;;;-111818,98881;
297;1918;Бюджетное учреждение культуры Вологодской области "Вологодская областная юношеская библиотека им.В.Ф. Тендрякова";9843,78377;337,39417;;62,04752;;;-195,66763;
298;1925;Автономное учреждение культуры Вологодской области "Вологдареставрация";217794,50019;4661,64427;;1137,9527;;;1471,89792;
299;1928;Бюджетное учреждение культуры Вологодской области "Вологодский областной театр юного зрителя";50853,13734;16886,50681;;1401,23397;;;553,36625;
300;1932;Бюджетное учреждение культуры Вологодской области "Великоустюгский государственный историко-архитектурный и художественный музей-заповедник";30845,01359;3803,30869;;2828,02443;;;-1158,44847;
301;2556;Автономное учреждение культуры  Вологодской области "Вологодская областная государственная филармония им. В.А.Гаврилина";226018,10144;82048,98045;;3583,79212;;;-77959,30119;
302;511;Бюджетное учреждение физической культуры и спорта Вологодской области "Центр спортивной подготовки сборных команд области";59467,29467;26334,75387;;1766,87791;;;-24980,16618;
303;3500;Автономное учреждение физической культуры и спорта Вологодской области "Спортивный комплекс  "Витязь";37390,60844;27525,08407;;158,96755;;;-25699,64303;
304;51;Казенное учреждение Вологодской области "Центр содержания иностранных граждан и лиц без гражданства, подлежащих депортации или административному выдворению за пределы Российской Федерации";1641,20558;507,72565;;331,40038;;;0,38995;
305;113;Казенное учреждение пожарной безопасности Вологодской области "Противопожарная служба Вологодской области";224862,08135;82182,37352;;19814,28909;;;;
306;3778;Бюджетное образовательное учреждение Вологодской области "Учебно-методический центр по гражданской обороне и чрезвычайным ситуациям Вологодской области";6042,82157;3196,64855;;56,43401;;;-2941,87167;
307;3859;Казенное учреждение защиты в чрезвычайных ситуациях Вологодской области "Аварийно-спасательная служба Вологодской области";69601,25046;38437,08962;;3289,43212;;;;
308;3860;Казенное учреждение гражданской защиты и пожарной безопасности Вологодской области "Центр обеспечения мероприятий гражданской защиты и пожарной безопасности Вологодской области";173458,00896;67711,8438;;1766,472;;;28683,30743;
309;3177;Бюджетное учреждение сферы государственного регулирования инвестиционной деятельности и туризма Вологодской области "Информационно-презентационный центр";159326,61498;128492,33668;;1178,157;;;;
310;656;Казенное архивное учреждение Вологодской области "Вологодский областной архив новейшей политической истории";5767,96915;1534,81413;;644,8678;;;138,02255;
311;663;Казенное архивное учреждение Вологодской области "Областной архив по личному составу";1303,97197;85,13881;;;;;8,79871;
312;987;Казенное архивное учреждение Вологодской области "Областной государственный архив кинофотофоно и электронных документов";2427,54554;898,61062;;;;;14,95804;
313;2132;Казенное архивное учреждение Вологодской области "Государственный архив Вологодской области";49524,37904;19648,67229;;381,10729;;;376,74045;
314;3253;Бюджетное архивное учреждение Вологодской области "Объединенный междуведомственный архив";1497,90244;0;;16,6134;;;933,09809;
315;4542;Автономное учреждение Вологодской области " Управление государственной экспертизы проектной документации и результатов инженерных изысканий по Вологодской области";1154,59133;275,4795;;24,516;;;87267,133;
316;114;Казенное учреждение Вологодской области "Центр занятости населения Вытегорского района";4392,53484;1497,77539;;107,64064;;;;
317;983;Казенное учреждение Вологодской области "Центр занятости населения Кичменгско-Городецкого района";2293,30265;646,05738;;158,67573;;;7,13948;
318;994;Казенное учреждение Вологодской области "Центр занятости населения Бабаевского района";2980,35362;1200,12569;;130,62637;;;;
319;995;Казенное учреждение Вологодской области "Центр занятости населения Чагодощенского района";1628,58061;669,14756;;93,27625;;;;
320;996;Казенное учреждение Вологодской области "Центр занятости населения Устюженского района";4110,69898;1089,38385;;46,77125;;;;
321;3943;Казенное учреждение Вологодской области "Центр занятости населения Вашкинского района";1996,47897;718,90902;;59,37353;;;;
322;3945;Казенное учреждение Вологодской области "Центр занятости населения города Череповца и Череповецкого района";53043,93941;36013,74809;;186,60376;;;9,09345;
323;3946;Казенное учреждение Вологодской области "Центр занятости населения города Вологды";11070,41357;3201,02991;;1098,7193;;94,04976;1093,76906;
324;3947;Казенное учреждение Вологодской области "Центр занятости населения Белозерского района";2913,25834;1327,44205;;69,61165;;;3,71801;
325;3948;Казенное учреждение Вологодской области "Центр занятости населения Сямженского района";3043,44648;1865,12627;;115,95511;;;6,26466;
326;3949;Казенное учреждение Вологодской области "Центр занятости населения Грязовецкого района";6036,51364;2120,12457;;260,62511;;;28,57231;
327;3950;Казенное учреждение Вологодской области "Центр занятости населения Тарногского района";2845,85015;1285,27963;;41,94481;;;4,56224;
328;3951;Казенное учреждение Вологодской области "Центр занятости населения Кадуйского района";2164,37257;969,14924;;11,13923;;;;
329;3953;Казенное учреждение Вологодской области "Центр занятости населения Никольского района";5065,63355;1993,93774;;113,501;;;11,09644;
330;3954;Казенное учреждение Вологодской области "Центр занятости населения Нюксенского района";2884,74332;1450,45356;;44,65452;;;65,35865;
331;3955;Казенное учреждение Вологодской области "Центр занятости населения Харовского района";3945,49103;2216,52454;;53,24748;;;6,20474;
332;3956;Казенное учреждение Вологодской области "Центр занятости населения Шекснинского района";5372,78226;2047,99558;;7,58393;;;4,27422;
333;3957;Казенное учреждение Вологодской области "Центр занятости населения Вожегодского района";4645,42738;2167,55145;;43,61772;;;2,3816;
334;3958;Казенное учреждение Вологодской области "Центр занятости населения Вологодского района";1845,74865;330,33199;;70,007;;;15,00221;
335;3959;Казенное учреждение Вологодской области "Центр занятости населения Кирилловского района";3690,54847;1581,3502;;41,49606;;;3,02938;
336;3960;Казенное учреждение Вологодской области "Центр занятости населения Сокольского района";8880,03426;4688,77896;;181,04448;;;7,56295;
337;3963;Казенное учреждение Вологодской области "Центр занятости населения Бабушкинского района";5980,06489;3658,91138;;11,62999;;;7,54196;
338;3964;Казенное учреждение Вологодской области "Центр занятости населения Великоустюгского района";4752,91303;1572,80565;;96,72959;;;33,95154;
339;3965;Казенное учреждение Вологодской области "Центр занятости населения Тотемского района";6312,06698;4104,67977;;62,04524;;;9,75233;
340;3966;Казенное учреждение Вологодской области "Центр занятости населения Верховажского района";3215,60077;1317,94894;;;;;4,15787;
341;42;Бюджетное учреждение Вологодской области в сфере организации предоставления государственных и муниципальных услуг "Многофункциональный центр в г.Вологде";36453,65979;10094,98576;;568,19636;;;817,19772;
342;2172;Бюджетное учреждение Вологодской области "Дирекция по охране и воспроизводству объектов животного мира";20445,3698;3693,4612;30;416,69656;;;-2637,34179;
343;3902;Бюджетное учреждение социального обслуживания Вологодской  области "Дом ночного пребывания города Вологды";0;0;;324,8528;;;51,13513;
344;49;Бюджетное учреждение в сфере информационных технологий Вологодской области "Центр информационных технологий";114351,08364;37503,65553;;1144,74419;;;-30110,82028;
345;1153;Бюджетное учреждение ветеринарии Вологодской области"Грязовецкая районная станция по борьбе с болезнями животных";12390,98621;16111,56508;;1137,42661;;;;
346;1154;Бюджетное учреждение ветеринарии "Усть-Кубинская районная станция по борьбе с болезнями животных";2048,44271;11,30956;;72,12843;;;;
347;1155;Бюджетное учреждение ветеринарии Вологодской области "Вожегодская районная станция по борьбе с болезнями животных";18182,48544;2216,68057;;253,96881;;;;
348;1156;Бюджетное учреждение ветеринарии Вологодской области "Сямженская районная станция по борьбе с болезнями животных";17531,49564;10311,55877;;96,72783;;;;
349;1157;Бюджетное учреждение ветеринарии Вологодской области "Никольская районная станция по борьбе с болезнями животных";8644,77488;127,55843;;306,18919;;;;
350;1158;Бюджетное учреждение ветеринарии Вологодской области "Кичм-Городецкая районная станция по борьбе с болезнями животных";7448,95017;1424,77443;;125,57012;;;;
351;1159;Бюджетное учреждение ветеринарии Вологодской области "Тотемская районная станция по борьбе с болезнями животных";15777,6474;7083,11385;;461,07007;;;;
352;1160;Бюджетное учреждение ветеринарии Вологодской области "Чагодощенская районная станция по борьбе с болезнями животных";7292,99582;1469,20226;;468,60679;;;;
353;1161;Бюджетное учреждение ветеринарии Вологодской области "Сокольская районная станция по борьбе с болезнями животных";3281,71842;105,9294;;205,11825;;;;
354;1162;Бюджетное учреждение ветеринарии Вологодской области "Череповецкая районная станция по борьбе с болезнями животных";14133,72217;1247,37612;;64,22078;;;;
355;1163;Бюджетное учреждение ветеринарии Вологодской области "Череповецкая городская станция по борьбе с болезнями животных";3110,07796;274,59905;;570,68228;;;;
356;1164;Бюджетное учреждение ветеринарии "Кирилловская районная станция по борьбе с болезнями животных";12092,90642;416,37692;;105,72779;;;;
357;1165;Бюджетное учреждение ветеринарии Вологодской области "Великоустьгская районная станция по борьбе с болезнями животных";5020,53226;786,66323;;847,12595;;;;
358;1166;Бюджетное учреждение ветеринарии Вологодской области "Шекснинская районная станция по борьбе с болезнями животных";5205,50337;280,36787;;611,16186;;;;
359;1167;Бюджетное учреждение ветиринарии Вологодской области "Бабушкинская районная станция по борьбе с болезнями животных";2445,97566;609,52673;;120,18716;;;;
360;1168;Бюджетное учреждение ветеринарии Вологодской области "Кадуйская районная станция по борьбе с болезнями животных";6287,25587;2180,47719;;177,54276;;;;
361;1169;Бюджетное учреждение ветеринарии Вологодской области "Тарногская районная станция по борьбе с болезнями животных";8321,1485;189,26164;;134,75635;;;;
362;1170;Бюджетное учреждение ветеринарии Вологодской области "Бабаевская районная станция по борьбе с болезнями животных";8413,34016;70,33768;;387,25574;;;;
363;1171;Бюджетное учреждение ветеринарии Вологодской области "Верховажская районная станция по борьбе с болезнями животных";1924,44279;36,09276;;313,13768;;;;
364;1172;Бюджетное учреждение ветеринарии Вологодской области "Устюженская районная станция по борьбе с болезнями животных";15130,02405;6713,99621;;264,42348;;;;
365;1173;Бюджетное учреждение ветеринарии Вологодской области "Вологодская районная станция по борьбе с болезнями животных";6559,9015;345,00893;;22,45637;;;;
366;1174;Бюджетное учреждение ветеринарии Вологодской области "Вашкинская районная станция по борьбе с болезнями животных";9134,05078;1198,73284;;36,20233;;;;
367;1175;Бюджетное учреждение ветеринарии Вологодской области "Белозерская районная станция по борьбе с болезнями животных";22131,19205;4045,91412;;82,41471;;;;
368;1176;Бюджетное учреждение ветеринарии Вологодской области "Нюксенская районная станция по борьбе с болезнями животных";4334,72183;181,53497;;479,78093;;;;
369;1177;Бюджетное учреждение ветеринарии Вологодской области "Харовская районная станция по борьбе с болезнями животных";18830,12618;9618,52064;;226,71665;;;;
370;1178;Бюджетное учреждение ветеринарии Вологодской области "Вытегорская районная станция по борьбе с болезнями животных";7976,85787;96,72624;;154,53934;;;;
371;3843;Бюджетное учреждение ветеринарии Вологодской области "Вологодская областная ветеринарная лаборатория";55066,91163;38372,78347;;3218,01739;;;-33738,62109;
372;3858;Бюджетное учреждение ветеринарии Вологодской области "Вологодская городская станция по борьбе с болезнями животных";12051,41725;5103,40919;;6327,12229;;;20784,91471;
;;Итого по разделу II п."а":;118474402,3434;58133063,61509;3549443,05136;2066492,8
;1296,9;5168,2258;3228223,68089;
