№ п/п;Реестровый №;Наименование юридического лица, за которым закреплено имущество области ;Балансовая стоимость основных средств, тыс. руб.;Остаточная стоимость основных средств, тыс. руб;Незавершенное строительство (размер затрат), тыс.руб.;Материальные запасы, тыс.руб.;Долгосрочные финансовые вложения, тыс.руб.;Нематериальные активы, тыс.руб.;Иные активы, тыс.руб.;
348;1156;Бюджетное учреждение ветеринарии Вологодской области "Сямженская районная станция по борьбе с болезнями животных";17531.495640000001;10311.55877;;;;;;
349;1157;Бюджетное учреждение ветеринарии Вологодской области "Никольская районная станция по борьбе с болезнями животных";8644.7748800000008;127.55842999999999;;;;;;
350;1158;Бюджетное учреждение ветеринарии Вологодской области "Кичм-Городецкая районная станция по борьбе с болезнями животных";7448.9501700000001;1424.7744299999999;;;;;;
351;1159;Бюджетное учреждение ветеринарии Вологодской области "Тотемская районная станция по борьбе с болезнями животных";15777.6474;7083.1138499999997;;;;;;
352;1160;Бюджетное учреждение ветеринарии Вологодской области "Чагодощенская районная станция по борьбе с болезнями животных";7292.9958200000001;1469.20226;;;;;;
353;1161;Бюджетное учреждение ветеринарии Вологодской области "Сокольская районная станция по борьбе с болезнями животных";3281.7184200000002;105.9294;;;;;;
354;1162;Бюджетное учреждение ветеринарии Вологодской области "Череповецкая районная станция по борьбе с болезнями животных";14133.722169999999;1247.3761200000001;;;;;;
355;1163;Бюджетное учреждение ветеринарии Вологодской области "Череповецкая городская станция по борьбе с болезнями животных";3110.0779600000001;274.59904999999998;;;;;;
356;1164;Бюджетное учреждение ветеринарии "Кирилловская районная станция по борьбе с болезнями животных";12092.906419999999;416.37691999999998;;;;;;
357;1165;Бюджетное учреждение ветеринарии Вологодской области "Великоустьгская районная станция по борьбе с болезнями животных";5020.53226;786.66323;;;;;;
358;1166;Бюджетное учреждение ветеринарии Вологодской области "Шекснинская районная станция по борьбе с болезнями животных";5205.5033700000004;280.36786999999998;;;;;;
359;1167;Бюджетное учреждение ветиринарии Вологодской области "Бабушкинская районная станция по борьбе с болезнями животных";2445.9756600000001;609.52672999999993;;;;;;
360;1168;Бюджетное учреждение ветеринарии Вологодской области "Кадуйская районная станция по борьбе с болезнями животных";6287.25587;2180.4771900000001;;;;;;
361;1169;Бюджетное учреждение ветеринарии Вологодской области "Тарногская районная станция по борьбе с болезнями животных";8321.1484999999993;189.26164;;;;;;
362;1170;Бюджетное учреждение ветеринарии Вологодской области "Бабаевская районная станция по борьбе с болезнями животных";8413.3401599999997;70.337679999999992;;;;;;
363;1171;Бюджетное учреждение ветеринарии Вологодской области "Верховажская районная станция по борьбе с болезнями животных";1924.4427900000001;36.092760000000006;;;;;;
364;1172;Бюджетное учреждение ветеринарии Вологодской области "Устюженская районная станция по борьбе с болезнями животных";15130.02405;6713.9962100000002;;;;;;
365;1173;Бюджетное учреждение ветеринарии Вологодской области "Вологодская районная станция по борьбе с болезнями животных";6559.9014999999999;345.00893000000002;;;;;;
366;1174;Бюджетное учреждение ветеринарии Вологодской области "Вашкинская районная станция по борьбе с болезнями животных";9134.0507799999996;1198.7328400000001;;;;;;
367;1175;Бюджетное учреждение ветеринарии Вологодской области "Белозерская районная станция по борьбе с болезнями животных";22131.192050000001;4045.9141199999999;;;;;;
368;1176;Бюджетное учреждение ветеринарии Вологодской области "Нюксенская районная станция по борьбе с болезнями животных";4334.7218300000004;181.53496999999999;;;;;;
369;1177;Бюджетное учреждение ветеринарии Вологодской области "Харовская районная станция по борьбе с болезнями животных";18830.126179999999;9618.5206400000006;;;;;;
370;1178;Бюджетное учреждение ветеринарии Вологодской области "Вытегорская районная станция по борьбе с болезнями животных";7976.8578699999998;96.726240000000004;;;;;;
371;3843;Бюджетное учреждение ветеринарии Вологодской области "Вологодская областная ветеринарная лаборатория";55066.911630000002;38372.783470000002;;;;;-33738.621090000001;
372;3858;Бюджетное учреждение ветеринарии Вологодской области "Вологодская городская станция по борьбе с болезнями животных";12051.41725;5103.4091900000003;;;;;20784.914710000001;
